iter	Passed	Remaining
0	5	3635
1	10	3513
2	16	3844
3	22	3881
4	28	3921
5	34	3971
6	41	4068
7	47	4098
8	53	4116
9	60	4141
10	65	4133
11	72	4138
12	77	4114
13	83	4115
14	90	4133
15	96	4130
16	102	4125
17	108	4127
18	115	4128
19	121	4126
20	127	4133
21	133	4128
22	140	4130
23	146	4129
24	152	4128
25	158	4120
26	165	4114
27	171	4110
28	178	4118
29	183	4095
30	189	4087
31	195	4082
32	202	4083
33	209	4094
34	215	4091
35	221	4087
36	228	4088
37	233	4072
38	239	4059
39	246	4062
40	252	4063
41	259	4058
42	265	4050
43	271	4048
44	277	4041
45	283	4034
46	289	4025
47	295	4012
48	301	4005
49	308	4004
50	314	4001
51	319	3985
52	325	3979
53	332	3977
54	339	3978
55	345	3972
56	351	3963
57	357	3958
58	363	3952
59	369	3940
60	375	3929
61	380	3920
62	386	3906
63	391	3894
64	397	3887
65	404	3884
66	410	3881
67	416	3874
68	423	3872
69	429	3866
70	435	3862
71	441	3854
72	447	3845
73	453	3835
74	458	3820
75	463	3808
76	470	3804
77	476	3797
78	481	3788
79	488	3782
80	494	3775
81	499	3767
82	506	3761
83	512	3755
84	517	3744
85	523	3735
86	529	3728
87	535	3726
88	541	3719
89	548	3715
90	554	3711
91	561	3708
92	567	3705
93	574	3700
94	580	3696
95	587	3693
96	592	3682
97	598	3677
98	604	3668
99	609	3658
100	615	3648
101	620	3640
102	627	3634
103	633	3627
104	639	3623
105	645	3617
106	651	3608
107	657	3602
108	663	3597
109	669	3592
110	676	3588
111	682	3580
112	688	3577
113	695	3574
114	701	3570
115	707	3560
116	713	3552
117	718	3544
118	723	3534
119	729	3526
120	735	3518
121	740	3510
122	746	3503
123	752	3496
124	758	3490
125	764	3481
126	770	3476
127	776	3470
128	782	3464
129	788	3458
130	795	3455
131	801	3447
132	806	3440
133	813	3434
134	819	3428
135	825	3421
136	831	3415
137	836	3407
138	842	3402
139	849	3396
140	854	3388
141	860	3381
142	866	3374
143	872	3367
144	877	3360
145	884	3355
146	890	3348
147	896	3342
148	901	3335
149	908	3329
150	913	3321
151	919	3314
152	925	3308
153	931	3303
154	937	3296
155	943	3289
156	949	3284
157	955	3278
158	961	3270
159	966	3263
160	973	3258
161	979	3251
162	984	3244
163	990	3237
164	996	3232
165	1002	3225
166	1008	3219
167	1014	3211
168	1020	3205
169	1025	3197
170	1031	3190
171	1037	3186
172	1043	3179
173	1049	3173
174	1055	3167
175	1061	3161
176	1067	3155
177	1073	3149
178	1080	3143
179	1086	3138
180	1092	3132
181	1098	3127
182	1104	3121
183	1110	3114
184	1116	3108
185	1122	3100
186	1128	3095
187	1135	3091
188	1141	3085
189	1146	3077
190	1152	3071
191	1159	3067
192	1165	3060
193	1171	3054
194	1177	3048
195	1182	3041
196	1189	3037
197	1195	3031
198	1202	3026
199	1208	3020
200	1214	3014
201	1219	3007
202	1225	3001
203	1232	2995
204	1237	2988
205	1244	2983
206	1250	2978
207	1256	2972
208	1262	2966
209	1269	2961
210	1275	2955
211	1281	2950
212	1287	2944
213	1293	2938
214	1300	2932
215	1306	2927
216	1312	2921
217	1319	2916
218	1324	2910
219	1330	2903
220	1336	2897
221	1342	2891
222	1348	2884
223	1354	2878
224	1361	2873
225	1366	2866
226	1372	2860
227	1378	2854
228	1384	2847
229	1390	2841
230	1396	2835
231	1401	2828
232	1408	2822
233	1413	2815
234	1420	2809
235	1425	2803
236	1432	2798
237	1438	2791
238	1443	2784
239	1450	2779
240	1456	2773
241	1462	2767
242	1468	2761
243	1474	2755
244	1480	2750
245	1487	2744
246	1493	2738
247	1499	2732
248	1505	2727
249	1511	2721
250	1517	2714
251	1523	2708
252	1528	2701
253	1535	2695
254	1541	2689
255	1547	2683
256	1553	2677
257	1559	2670
258	1565	2664
259	1571	2658
260	1577	2652
261	1583	2647
262	1589	2641
263	1595	2635
264	1601	2629
265	1608	2624
266	1615	2619
267	1621	2613
268	1626	2606
269	1632	2599
270	1638	2593
271	1644	2587
272	1650	2580
273	1656	2574
274	1662	2569
275	1668	2563
276	1674	2557
277	1680	2551
278	1686	2545
279	1692	2538
280	1698	2532
281	1704	2527
282	1710	2520
283	1716	2514
284	1722	2508
285	1728	2502
286	1734	2495
287	1740	2489
288	1745	2482
289	1751	2475
290	1756	2469
291	1762	2462
292	1767	2455
293	1773	2448
294	1778	2442
295	1784	2436
296	1791	2430
297	1797	2424
298	1803	2418
299	1809	2412
300	1814	2405
301	1821	2400
302	1827	2394
303	1834	2389
304	1839	2382
305	1846	2376
306	1852	2370
307	1858	2364
308	1864	2358
309	1870	2352
310	1876	2346
311	1881	2340
312	1888	2334
313	1894	2329
314	1901	2323
315	1907	2317
316	1913	2311
317	1919	2305
318	1925	2299
319	1931	2293
320	1937	2287
321	1943	2281
322	1949	2275
323	1955	2269
324	1960	2262
325	1966	2256
326	1972	2250
327	1978	2243
328	1984	2238
329	1990	2231
330	1996	2225
331	2003	2220
332	2008	2213
333	2014	2207
334	2020	2201
335	2026	2195
336	2032	2189
337	2038	2183
338	2044	2176
339	2050	2170
340	2056	2164
341	2062	2158
342	2068	2153
343	2074	2146
344	2080	2140
345	2086	2134
346	2091	2127
347	2097	2121
348	2103	2115
349	2109	2109
350	2115	2103
351	2122	2098
352	2128	2092
353	2134	2086
354	2140	2079
355	2145	2073
356	2151	2067
357	2158	2061
358	2164	2055
359	2170	2050
360	2176	2044
361	2182	2038
362	2188	2031
363	2194	2025
364	2200	2019
365	2206	2013
366	2212	2007
367	2218	2001
368	2224	1995
369	2231	1990
370	2237	1984
371	2244	1978
372	2250	1973
373	2256	1967
374	2262	1961
375	2268	1955
376	2274	1948
377	2280	1942
378	2286	1936
379	2293	1931
380	2299	1925
381	2305	1918
382	2311	1912
383	2317	1906
384	2322	1900
385	2328	1894
386	2334	1888
387	2340	1882
388	2346	1876
389	2352	1870
390	2358	1864
391	2364	1858
392	2371	1852
393	2376	1846
394	2383	1840
395	2389	1834
396	2395	1828
397	2401	1822
398	2407	1815
399	2412	1809
400	2418	1803
401	2424	1797
402	2430	1791
403	2436	1784
404	2442	1778
405	2448	1773
406	2454	1767
407	2460	1761
408	2466	1754
409	2472	1748
410	2478	1743
411	2484	1736
412	2490	1730
413	2496	1724
414	2503	1718
415	2509	1712
416	2515	1706
417	2521	1700
418	2527	1694
419	2533	1688
420	2538	1682
421	2544	1676
422	2551	1670
423	2556	1664
424	2562	1658
425	2569	1652
426	2574	1646
427	2580	1640
428	2586	1634
429	2592	1627
430	2598	1622
431	2605	1616
432	2611	1610
